address,city,state,zip_code,latitude,longitude,property_type,bedrooms,bathrooms,sqft,year_built,price,listed_date,removed_date,days_on_market
"74 N Deer Isle Rd, Deer Isle, ME 04627",Deer Isle,ME,04627,44.229636,-68.677959,Single Family,5.0,4.0,3304.0,,7000,2025-05-07T00:00:00.000Z,,335
"53 Falls Bridge Rd, Blue Hill, ME 04614",Blue Hill,ME,04614,44.377906,-68.563752,Single Family,4.0,2.0,3200.0,1854.0,4500,2026-02-02T00:00:00.000Z,2026-03-21T00:00:00.000Z,47
"152 Pond Shore Way, Orland, ME 04472",Orland,ME,04472,44.549539,-68.661029,Single Family,5.0,2.5,,,3000,2025-07-08T00:00:00.000Z,2025-07-30T00:00:00.000Z,22
"1434 Castine Rd, Penobscot, ME 04476",Penobscot,ME,04476,44.473682,-68.781727,Single Family,3.0,2.0,3000.0,,2800,2022-09-29T00:00:00.000Z,2023-03-15T00:00:00.000Z,167
"21 Tarratine St, Castine, ME 04421",Castine,ME,04421,44.386527,-68.803841,Single Family,2.0,2.0,1400.0,,2500,2024-04-15T00:00:00.000Z,2024-05-04T00:00:00.000Z,19
"38 Tufts Ct, Surry, ME 04684",Surry,ME,04684,44.502255,-68.555036,Single Family,3.0,2.0,1170.0,,2500,2025-02-16T00:00:00.000Z,2025-03-19T00:00:00.000Z,31
"63 School House Rd, Orland, ME 04472",Orland,ME,04472,44.571292,-68.734007,Single Family,3.0,2.5,1000.0,,2300,2025-07-07T00:00:00.000Z,2025-07-24T00:00:00.000Z,17
"68 Bonsey Ln, Surry, ME 04684",Surry,ME,04684,44.433152,-68.472795,Single Family,3.0,2.5,2300.0,1987.0,2300,2026-01-05T00:00:00.000Z,2026-02-05T00:00:00.000Z,31
"74 Battle Ave Unit A, Castine, ME 04421",Castine,ME,04421,44.38575,-68.813004,Condo,3.0,2.0,1450.0,,2250,2023-09-08T00:00:00.000Z,2023-10-31T00:00:00.000Z,53
"684 Pleasant St, Unit 1, Blue Hill, ME 04614",Blue Hill,ME,04614,44.442036,-68.610985,Apartment,2.0,1.0,1024.0,2025.0,2000,2025-09-23T00:00:00.000Z,2025-10-24T00:00:00.000Z,31
"1630 Acadia Hwy, Orland, ME 04472",Orland,ME,04472,44.568337,-68.625276,Single Family,3.0,2.0,1056.0,,2000,2026-03-16T00:00:00.000Z,2026-03-31T00:00:00.000Z,15
"5 Atlantic Ave, Stonington, ME 04681",Stonington,ME,04681,44.155785,-68.662873,Apartment,2.0,2.0,600.0,,1900,2026-03-07T00:00:00.000Z,2026-03-08T00:00:00.000Z,1
"1318 Bald Mountain Rd, Orland, ME 04472",Orland,ME,04472,44.634029,-68.661782,Single Family,3.0,1.0,,,1900,2025-06-27T00:00:00.000Z,2026-02-25T00:00:00.000Z,243
"21 Clearwater Rd, Orland, ME 04472",Orland,ME,04472,44.557364,-68.75598,Single Family,2.0,1.0,1120.0,,1800,2023-08-25T00:00:00.000Z,2023-12-29T00:00:00.000Z,126
"149 Newbury Neck Rd, Surry, ME 04684",Surry,ME,04684,44.487311,-68.494561,Single Family,3.0,1.0,1300.0,,1800,2024-02-11T00:00:00.000Z,2024-04-21T00:00:00.000Z,70
"21 Wardwell Rd, Orland, ME 04472",Orland,ME,04472,44.573151,-68.757531,Single Family,2.0,1.0,1248.0,,1800,2025-07-02T00:00:00.000Z,2025-08-27T00:00:00.000Z,56
"112 Mattson Ln, Blue Hill, ME 04614",Blue Hill,ME,04614,44.426337,-68.613523,Apartment,2.0,1.0,,,1650,2024-10-23T00:00:00.000Z,2025-06-18T00:00:00.000Z,238
"123 Dunbar Rd, Penobscot, ME 04476",Penobscot,ME,04476,44.459663,-68.744461,Single Family,2.0,2.0,,,1600,2024-11-05T00:00:00.000Z,2024-12-06T00:00:00.000Z,31
"27 Water St, Unit 3B, Blue Hill, ME 04614",Blue Hill,ME,04614,44.412762,-68.587456,Apartment,1.0,1.0,1400.0,,1500,2024-10-22T00:00:00.000Z,2024-11-21T00:00:00.000Z,30
"3 Peninsula Dr, Apt D, Blue Hill, ME 04614",Blue Hill,ME,04614,44.401939,-68.602013,Townhouse,2.0,2.0,900.0,,1500,2024-07-30T00:00:00.000Z,2025-07-29T00:00:00.000Z,364
"651 Acadia Hwy, Orland, ME 04472",Orland,ME,04472,44.562423,-68.714267,Single Family,2.0,1.0,1100.0,,1485,2024-11-15T00:00:00.000Z,2024-12-07T00:00:00.000Z,22
"74 Battle Ave Unit B, Castine, ME 04421",Castine,ME,04421,44.38575,-68.813004,Condo,1.0,1.0,700.0,,1400,2025-05-26T00:00:00.000Z,2025-12-09T00:00:00.000Z,197
"115 Ellsworth Rd, Apt A2, Blue Hill, ME 04614",Blue Hill,ME,04614,44.422274,-68.579213,Condo,2.0,1.0,,,1400,2021-10-01T00:19:25.019Z,2022-08-08T03:59:48.234Z,312
"115 Ellsworth Rd, Apt A3, Blue Hill, ME 04614",Blue Hill,ME,04614,44.422275,-68.579214,Condo,2.0,1.0,,,1400,2022-04-29T02:02:00.445Z,2022-08-12T03:31:58.591Z,106
"165 Ellsworth Rd, Apt 2B, Blue Hill, ME 04614",Blue Hill,ME,04614,44.426164,-68.577226,Condo,2.0,1.0,,,1400,2022-06-07T01:25:36.459Z,2022-08-12T04:31:10.201Z,67
"9 Winsor Ln, Unit B2, Blue Hill, ME 04614",Blue Hill,ME,04614,44.422276,-68.579216,Apartment,2.0,1.0,,,1400,2025-07-09T00:00:00.000Z,2025-07-10T00:00:00.000Z,1
"115 Ellsworth Rd, Unit A2, Blue Hill, ME 04614",Blue Hill,ME,04614,44.422676,-68.57962,Apartment,2.0,1.0,1000.0,,1400,2025-01-19T00:00:00.000Z,2025-01-20T00:00:00.000Z,1
"115 Ellsworth Rd, Unit A3, Blue Hill, ME 04614",Blue Hill,ME,04614,44.422676,-68.57962,Apartment,2.0,1.0,,,1375,2025-09-03T00:00:00.000Z,2025-09-04T00:00:00.000Z,1
"18 Harborview Ct, # 1F, Blue Hill, ME 04614",Blue Hill,ME,04614,44.417652,-68.583572,Apartment,,1.0,800.0,,1350,2024-11-14T00:00:00.000Z,2024-11-15T00:00:00.000Z,1
"37 Parker Point Rd, Blue Hill, ME 04614",Blue Hill,ME,04614,44.409705,-68.588645,Apartment,0.0,1.0,450.0,,1350,2025-08-26T00:00:00.000Z,2025-08-27T00:00:00.000Z,1
"91 Castine Rd, Apt 2, Orland, ME 04472",Orland,ME,04472,44.571507,-68.744675,Apartment,2.0,1.0,,,1350,2025-09-05T00:00:00.000Z,2025-09-06T00:00:00.000Z,1
"13 Harborview Ct, Unit 1F, Blue Hill, ME 04614",Blue Hill,ME,04614,44.417709,-68.58326,Apartment,2.0,1.0,,,1325,2024-09-24T00:00:00.000Z,2024-10-25T00:00:00.000Z,31
"9 Winsor Ln, Apt B2, Blue Hill, ME 04614",Blue Hill,ME,04614,44.422611,-68.579011,Condo,2.0,1.0,,,1300,2022-06-22T02:11:32.210Z,2022-09-02T03:24:54.655Z,73
"3 Peninsula Dr, Apt C, Blue Hill, ME 04614",Blue Hill,ME,04614,44.401941,-68.60181,Townhouse,2.0,2.0,,,1300,2023-02-28T00:00:00.000Z,2023-03-04T00:00:00.000Z,4
"17 Pleasant St, Unit 1, Blue Hill, ME 04614",Blue Hill,ME,04614,44.414646,-68.587135,Apartment,1.0,1.0,1300.0,,1300,2024-11-20T00:00:00.000Z,2024-12-21T00:00:00.000Z,31
"91 Castine Rd, Apt 3, Orland, ME 04472",Orland,ME,04472,44.571507,-68.744675,Apartment,2.0,1.0,,,1200,2025-10-22T00:00:00.000Z,2025-10-23T00:00:00.000Z,1
"248 Reach Rd, Deer Isle, ME 04627",Deer Isle,ME,04627,44.259616,-68.651116,Single Family,1.0,1.0,,,1200,2021-10-15T00:14:59.601Z,2022-08-08T03:59:48.234Z,298
"18 Harborview Ct, Unit 5H, Blue Hill, ME 04614",Blue Hill,ME,04614,44.417652,-68.583572,Apartment,1.0,1.0,700.0,,1175,2026-02-27T00:00:00.000Z,2026-02-28T00:00:00.000Z,1
"115 Ellsworth Rd, Unit A1, Blue Hill, ME 04614",Blue Hill,ME,04614,44.422676,-68.57962,Apartment,1.0,1.0,,,1150,2024-11-15T00:00:00.000Z,2024-11-16T00:00:00.000Z,1
"115 Ellsworth Rd, Apt A1, Blue Hill, ME 04614",Blue Hill,ME,04614,44.422275,-68.579214,Condo,1.0,1.0,,,1150,2022-05-28T01:40:29.644Z,2022-08-12T03:55:15.517Z,77
"13 Harborview Ct, Unit 5H, Blue Hill, ME 04614",Blue Hill,ME,04614,44.417709,-68.58326,Apartment,1.0,1.0,,,1125,2024-09-24T00:00:00.000Z,2024-10-25T00:00:00.000Z,31
"91 Castine Rd, Apt 1, Orland, ME 04472",Orland,ME,04472,44.571507,-68.744675,Apartment,2.0,1.0,,,1100,2026-03-16T00:00:00.000Z,2026-03-17T00:00:00.000Z,1
"13 Harborview Ct, Blue Hill, ME 04614",Blue Hill,ME,04614,44.417709,-68.58326,Apartment,2.0,1.0,700.0,,1095,2023-06-30T00:00:00.000Z,2024-06-29T00:00:00.000Z,365
"13 Harborview Ct, Unit 1A, Blue Hill, ME 04614",Blue Hill,ME,04614,44.417709,-68.58326,Apartment,1.0,1.0,598.0,,1095,2024-02-08T00:00:00.000Z,2024-06-13T00:00:00.000Z,126
"91 Castine Rd, Apt 4, Orland, ME 04472",Orland,ME,04472,44.571507,-68.744675,Apartment,1.0,1.0,,,1000,2024-07-04T00:00:00.000Z,2024-07-17T00:00:00.000Z,13
"101 Beechwood Ln, Orland, ME 04472",Orland,ME,04472,44.568821,-68.708741,Apartment,1.0,1.0,600.0,,1000,2021-04-14T00:21:04.902Z,2022-08-06T18:49:38.342Z,480
"165 Ellsworth Rd, Unit 3B, Blue Hill, ME 04614",Blue Hill,ME,04614,44.426163,-68.577226,Condo,1.0,1.0,,,950,2022-02-06T01:54:42.256Z,2022-08-08T04:45:49.653Z,184
